FK_Name|ParentTable|ParentColumn|ReferencedTable|ReferencedColumn
FK_FeeType_User|tblFeeType|ModifiedUser|tblUser|UserId
FK_GlCode_User|tblGLCode|ModifiedUser|tblUser|UserId
FK_tblInstitution_tblEntity|tblInstitution|EntityId|tblEntity|EntityId
FK_tblInstitutionName_tblInstitution|tblInstitutionName|InstitutionId|tblInstitution|InstitutionId
FK_Job_Language|tblJob|LanguageId|tblLanguage|LanguageId
FK_Job_User1|tblJob|SentUserID|tblUser|UserId
FK_Job_User2|tblJob|ReceivedUserId|tblUser|UserId
FK_Job_User3|tblJob|SentToPayrollUserId|tblUser|UserId
FK_JobExaminer_Job|tblJobExaminer|JobId|tblJob|JobId
FK_JobExaminer_PanelMembership|tblJobExaminer|PanelMembershipId|tblPanelMembership|PanelMembershipId
FK_JobExaminer_ProductSpecification|tblJobExaminer|ProductSpecificationId|tblProductSpecification|ProductSpecificationId
FK_JobExaminer_User1|tblJobExaminer|ProductSpecificationChangedUserId|tblUser|UserId
FK_JobExaminer_User2|tblJobExaminer|ValidatedUserId|tblUser|UserId
FK_JobExaminerPayroll_JobExaminer|tblJobExaminerPayroll|JobExaminerId|tblJobExaminer|JobExaminerID
FK_tblJobExaminerPayroll_tblPayroll|tblJobExaminerPayroll|PayrollId|tblPayroll|PayrollId
FK_JobExaminerRubricTestComponentResult_JobExaminer|tblJobExaminerRubricTestComponentResult|JobExaminerId|tblJobExaminer|JobExaminerID
FK_JobExaminerRubricTestComponentResult_RubricTestComponentResult|tblJobExaminerRubricTestComponentResult|RubricTestComponentResultId|tblRubricTestComponentResult|RubricTestComponentResultId
FK_Language_LanguageGroup|tblLanguage|LanguageGroupId|tblLanguageGroup|LanguageGroupId
FK_Language_User|tblLanguage|ModifiedUser|tblUser|UserId
FK_LanguageGroup_User|tblLanguageGroup|ModifiedUser|tblUser|UserId
FK_Location_To_Country|tblLocation|CountryId|tblCountry|CountryId
FK_Location_To_State|tblLocation|StateId|tluState|StateId
FK_MarkingResultType_User|tblMarkingResultType|ModifiedUser|tblUser|UserId
FK_MaterialRequest_MaterialRequestStatusType|tblMaterialRequest|MaterialRequestStatusTypeId|tblMaterialRequestStatusType|MaterialRequestStatusTypeId
FK_MaterialRequest_OwnedBy|tblMaterialRequest|OwnedByUserId|tblUser|UserId
FK_MaterialRequest_Panel|tblMaterialRequest|PanelId|tblPanel|PanelId
